2014-02-04T13:08:53 - BCI2000 Started
2014-02-04T13:08:54 - Waiting for configuration ...
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 888.512 14.9202.
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 272.56 13.5254.
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 371.691 13.907.
2014-02-04T13:09:47 - Warning: CursorFeedbackTask::Process: process: 265.586 14.3875.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 209.434 13.032.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 224.025 13.9549.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 874.78 13.7271.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 224.92 14.2877.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 377.161 14.4411.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 163.688 9.47467.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 201.685 10.008.
2014-02-04T13:09:48 - Warning: CursorFeedbackTask::Process: process: 175.518 9.89259.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 197.246 11.5533.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 193.38 11.6944.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 198.89 12.8511.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 211.296 13.2557.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 309.659 14.2667.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 253.12 14.4986.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 232.064 14.2069.
2014-02-04T13:09:49 - Warning: CursorFeedbackTask::Process: process: 200.807 12.8891.
2014-02-04T13:09:50 - Warning: CursorFeedbackTask::Process: process: 195.489 11.761.
2014-02-04T13:09:50 - Warning: CursorFeedbackTask::Process: process: 169.429 10.8735.
2014-02-04T13:09:50 - Warning: CursorFeedbackTask::Process: process: 309.192 9.87273.
2014-02-04T13:09:50 - Warning: CursorFeedbackTask::Process: process: 154.554 8.78817.
2014-02-04T13:09:50 - Warning: CursorFeedbackTask::Process: process: 330.704 7.08962.
