X,CH1,CH2,
Second,Volt,Volt,
-3.72400e-01,-4.00e-03,-6.00e-02,
-3.72300e-01,-2.00e-02,-2.00e-02,
-3.72200e-01,-8.00e-03,-6.00e-02,
-3.72100e-01,-2.00e-02,-6.00e-02,
-3.72000e-01,-8.00e-03,-2.00e-02,
-3.71900e-01,-8.00e-03,-7.99e-02,
-3.71800e-01,-1.20e-02,0.00e+00,
-3.71700e-01,4.00e-03,-7.99e-02,
-3.71600e-01,-1.60e-02,-2.00e-02,
-3.71500e-01,1.20e-02,-1.20e-01,
-3.71400e-01,-8.00e-03,-6.00e-02,
-3.71300e-01,8.00e-03,-1.20e-01,
-3.71200e-01,4.00e-03,-1.20e-01,
-3.71100e-01,8.00e-03,-1.00e-01,
-3.71000e-01,1.60e-02,-2.00e-01,
-3.70900e-01,0.00e+00,-6.00e-02,
-3.70800e-01,1.20e-02,-2.40e-01,
-3.70700e-01,1.20e-02,-2.00e-02,
-3.70600e-01,1.60e-02,-2.80e-01,
-3.70500e-01,8.00e-03,-2.00e-02,
-3.70400e-01,1.60e-02,-2.40e-01,
-3.70300e-01,1.20e-02,-6.00e-02,
-3.70200e-01,1.20e-02,-1.60e-01,
-3.70100e-01,1.20e-02,-1.20e-01,
-3.70000e-01,1.60e-02,-2.00e-02,
-3.69900e-01,2.40e-02,-1.80e-01,
-3.69800e-01,1.60e-02,7.99e-02,
-3.69700e-01,3.20e-02,-2.00e-01,
-3.69600e-01,2.40e-02,1.20e-01,
-3.69500e-01,3.20e-02,-2.20e-01,
-3.69400e-01,4.00e-02,7.99e-02,
-3.69300e-01,2.40e-02,-2.20e-01,
-3.69200e-01,5.60e-02,0.00e+00,
-3.69100e-01,3.60e-02,-1.40e-01,
-3.69000e-01,4.80e-02,-7.99e-02,
-3.68900e-01,5.20e-02,-6.00e-02,
-3.68800e-01,4.40e-02,-1.40e-01,
-3.68700e-01,5.20e-02,2.00e-02,
-3.68600e-01,5.20e-02,-1.60e-01,
-3.68500e-01,6.00e-02,4.00e-02,
-3.68400e-01,5.20e-02,-1.40e-01,
-3.68300e-01,6.00e-02,0.00e+00,
-3.68200e-01,4.80e-02,-1.40e-01,
-3.68100e-01,6.00e-02,2.00e-02,
-3.68000e-01,6.00e-02,-1.00e-01,
-3.67900e-01,6.80e-02,0.00e+00,
-3.67800e-01,7.20e-02,-1.20e-01,
-3.67700e-01,6.80e-02,-2.00e-02,
-3.67600e-01,6.80e-02,-7.99e-02,
-3.67500e-01,7.20e-02,-2.00e-02,
-3.67400e-01,7.20e-02,-7.99e-02,
-3.67300e-01,7.99e-02,-7.99e-02,
-3.67200e-01,7.59e-02,-2.00e-02,
-3.67100e-01,8.40e-02,-1.20e-01,
-3.67000e-01,7.99e-02,-2.00e-02,
-3.66900e-01,8.79e-02,-1.40e-01,
-3.66800e-01,7.59e-02,-6.00e-02,
-3.66700e-01,8.79e-02,-1.80e-01,
-3.66600e-01,8.79e-02,-6.00e-02,
-3.66500e-01,8.40e-02,-1.60e-01,
-3.66400e-01,9.20e-02,-6.00e-02,
-3.66300e-01,7.99e-02,-1.20e-01,
-3.66200e-01,8.79e-02,-7.99e-02,
-3.66100e-01,7.99e-02,-7.99e-02,
-3.66000e-01,9.60e-02,-1.00e-01,
-3.65900e-01,8.79e-02,-6.00e-02,
-3.65800e-01,9.60e-02,-1.20e-01,
-3.65700e-01,9.20e-02,-2.00e-02,
-3.65600e-01,9.60e-02,-1.00e-01,
-3.65500e-01,9.60e-02,0.00e+00,
-3.65400e-01,1.04e-01,-1.00e-01,
-3.65300e-01,1.04e-01,-2.00e-02,
-3.65200e-01,1.04e-01,-1.00e-01,
-3.65100e-01,1.16e-01,-6.00e-02,
-3.65000e-01,1.12e-01,-7.99e-02,
-3.64900e-01,1.16e-01,-7.99e-02,
-3.64800e-01,1.08e-01,-7.99e-02,
-3.64700e-01,1.28e-01,-1.00e-01,
-3.64600e-01,1.12e-01,-2.00e-02,
-3.64500e-01,1.28e-01,-7.99e-02,
-3.64400e-01,1.16e-01,-6.00e-02,
-3.64300e-01,1.28e-01,-6.00e-02,
-3.64200e-01,1.16e-01,-2.00e-02,
-3.64100e-01,1.28e-01,-2.00e-02,
-3.64000e-01,1.20e-01,-2.00e-02,
-3.63900e-01,1.28e-01,0.00e+00,
-3.63800e-01,1.36e-01,-6.00e-02,
-3.63700e-01,1.24e-01,0.00e+00,
-3.63600e-01,1.40e-01,-1.20e-01,
-3.63500e-01,1.24e-01,-2.00e-02,
-3.63400e-01,1.48e-01,-1.00e-01,
-3.63300e-01,1.32e-01,-6.00e-02,
-3.63200e-01,1.40e-01,-7.99e-02,
-3.63100e-01,1.36e-01,-1.20e-01,
-3.63000e-01,1.40e-01,-7.99e-02,
-3.62900e-01,1.40e-01,-2.20e-01,
-3.62800e-01,1.36e-01,-7.99e-02,
-3.62700e-01,1.40e-01,-2.80e-01,
-3.62600e-01,1.36e-01,-2.00e-02,
-3.62500e-01,1.48e-01,-2.80e-01,
-3.62400e-01,1.40e-01,0.00e+00,
-3.62300e-01,1.36e-01,-2.00e-01,
-3.62200e-01,1.36e-01,-2.00e-02,
-3.62100e-01,1.40e-01,-1.00e-01,
-3.62000e-01,1.40e-01,-1.20e-01,
-3.61900e-01,1.40e-01,0.00e+00,
-3.61800e-01,1.48e-01,-1.80e-01,
-3.61700e-01,1.44e-01,1.00e-01,
-3.61600e-01,1.48e-01,-2.00e-01,
-3.61500e-01,1.48e-01,1.20e-01,
-3.61400e-01,1.48e-01,-2.20e-01,
-3.61300e-01,1.64e-01,7.99e-02,
-3.61200e-01,1.44e-01,-1.60e-01,
-3.61100e-01,1.72e-01,2.00e-02,
-3.61000e-01,1.56e-01,-1.00e-01,
-3.60900e-01,1.64e-01,-7.99e-02,
-3.60800e-01,1.64e-01,-2.00e-02,
-3.60700e-01,1.68e-01,-1.80e-01,
-3.60600e-01,1.68e-01,-2.00e-02,
-3.60500e-01,1.68e-01,-1.80e-01,
-3.60400e-01,1.72e-01,0.00e+00,
-3.60300e-01,1.64e-01,-1.60e-01,
-3.60200e-01,1.76e-01,0.00e+00,
-3.60100e-01,1.64e-01,-1.20e-01,
-3.60000e-01,1.72e-01,2.00e-02,
-3.59900e-01,1.68e-01,-1.20e-01,
-3.59800e-01,1.76e-01,-2.00e-02,
-3.59700e-01,1.80e-01,-1.20e-01,
-3.59600e-01,1.80e-01,-6.00e-02,
-3.59500e-01,1.76e-01,-1.00e-01,
-3.59400e-01,1.84e-01,-7.99e-02,
-3.59300e-01,1.80e-01,-7.99e-02,
-3.59200e-01,1.84e-01,-1.00e-01,
-3.59100e-01,1.84e-01,-7.99e-02,
-3.59000e-01,1.84e-01,-1.40e-01,
-3.58900e-01,1.84e-01,-7.99e-02,
-3.58800e-01,1.84e-01,-1.40e-01,
-3.58700e-01,1.80e-01,-2.00e-02,
-3.58600e-01,1.84e-01,-1.60e-01,
-3.58500e-01,1.88e-01,-2.00e-02,
-3.58400e-01,1.80e-01,-1.40e-01,
-3.58300e-01,1.88e-01,-7.99e-02,
-3.58200e-01,1.72e-01,-1.20e-01,
-3.58100e-01,1.88e-01,-7.99e-02,
-3.58000e-01,1.76e-01,-7.99e-02,
-3.57900e-01,1.88e-01,-1.00e-01,
-3.57800e-01,1.84e-01,-2.00e-02,
-3.57700e-01,1.88e-01,-1.00e-01,
-3.57600e-01,1.84e-01,-2.00e-02,
-3.57500e-01,1.88e-01,-1.20e-01,
-3.57400e-01,1.88e-01,-2.00e-02,
-3.57300e-01,1.92e-01,-1.20e-01,
-3.57200e-01,1.92e-01,-6.00e-02,
-3.57100e-01,1.92e-01,-1.00e-01,
-3.57000e-01,1.96e-01,-6.00e-02,
-3.56900e-01,1.92e-01,-6.00e-02,
-3.56800e-01,2.04e-01,-6.00e-02,
-3.56700e-01,1.96e-01,-6.00e-02,
-3.56600e-01,2.08e-01,-1.00e-01,
-3.56500e-01,1.96e-01,-7.99e-02,
-3.56400e-01,2.12e-01,-1.20e-01,
-3.56300e-01,1.96e-01,-6.00e-02,
-3.56200e-01,2.04e-01,-7.99e-02,
-3.56100e-01,1.96e-01,-6.00e-02,
-3.56000e-01,2.04e-01,-2.00e-02,
-3.55900e-01,1.96e-01,-6.00e-02,
-3.55800e-01,2.00e-01,-2.00e-02,
-3.55700e-01,2.08e-01,-1.00e-01,
-3.55600e-01,1.92e-01,0.00e+00,
-3.55500e-01,2.12e-01,-1.00e-01,
-3.55400e-01,1.92e-01,-2.00e-02,
-3.55300e-01,2.20e-01,-1.20e-01,
-3.55200e-01,2.04e-01,-1.00e-01,
-3.55100e-01,2.08e-01,-7.99e-02,
-3.55000e-01,2.12e-01,-1.40e-01,
-3.54900e-01,2.04e-01,-6.00e-02,
-3.54800e-01,2.12e-01,-2.40e-01,
-3.54700e-01,2.00e-01,-6.00e-02,
-3.54600e-01,2.08e-01,-3.00e-01,
-3.54500e-01,2.04e-01,-2.00e-02,
-3.54400e-01,2.00e-01,-2.80e-01,
-3.54300e-01,2.00e-01,-2.00e-02,
-3.54200e-01,1.96e-01,-2.00e-01,
-3.54100e-01,2.00e-01,-6.00e-02,
-3.54000e-01,1.92e-01,-7.99e-02,
-3.53900e-01,2.00e-01,-1.20e-01,
-3.53800e-01,2.00e-01,2.00e-02,
-3.53700e-01,2.04e-01,-1.80e-01,
-3.53600e-01,1.96e-01,1.00e-01,
-3.53500e-01,2.04e-01,-2.20e-01,
-3.53400e-01,2.04e-01,1.00e-01,
-3.53300e-01,1.96e-01,-2.20e-01,
-3.53200e-01,2.16e-01,6.00e-02,
-3.53100e-01,1.92e-01,-1.60e-01,
-3.53000e-01,2.16e-01,-2.00e-02,
-3.52900e-01,2.04e-01,-7.99e-02,
-3.52800e-01,2.04e-01,-1.00e-01,
-3.52700e-01,2.04e-01,-2.00e-02,
-3.52600e-01,2.00e-01,-1.80e-01,
-3.52500e-01,2.04e-01,2.00e-02,
-3.52400e-01,2.04e-01,-1.60e-01,
-3.52300e-01,2.12e-01,2.00e-02,
-3.52200e-01,1.96e-01,-1.40e-01,
-3.52100e-01,2.04e-01,0.00e+00,
-3.52000e-01,2.00e-01,-1.20e-01,
-3.51900e-01,2.04e-01,2.00e-02,
-3.51800e-01,2.04e-01,-1.20e-01,
-3.51700e-01,2.04e-01,0.00e+00,
-3.51600e-01,2.04e-01,-1.00e-01,
-3.51500e-01,2.04e-01,-2.00e-02,
-3.51400e-01,2.04e-01,-7.99e-02,
-3.51300e-01,2.04e-01,-7.99e-02,
-3.51200e-01,2.04e-01,-7.99e-02,
-3.51100e-01,2.08e-01,-1.20e-01,
-3.51000e-01,1.96e-01,-6.00e-02,
-3.50900e-01,2.04e-01,-1.40e-01,
-3.50800e-01,1.96e-01,-2.00e-02,
-3.50700e-01,2.00e-01,-1.60e-01,
-3.50600e-01,1.92e-01,-2.00e-02,
-3.50500e-01,1.96e-01,-1.60e-01,
-3.50400e-01,2.04e-01,-7.99e-02,
-3.50300e-01,1.88e-01,-1.40e-01,
-3.50200e-01,1.96e-01,-7.99e-02,
-3.50100e-01,1.80e-01,-7.99e-02,
-3.50000e-01,1.96e-01,-7.99e-02,
-3.49900e-01,1.80e-01,-6.00e-02,
-3.49800e-01,1.96e-01,-1.00e-01,
-3.49700e-01,1.88e-01,-2.00e-02,
-3.49600e-01,1.88e-01,-1.20e-01,
-3.49500e-01,1.84e-01,-6.00e-02,
-3.49400e-01,1.88e-01,-1.00e-01,
-3.49300e-01,1.88e-01,-2.00e-02,
-3.49200e-01,1.92e-01,-1.20e-01,
-3.49100e-01,1.88e-01,-6.00e-02,
-3.49000e-01,1.88e-01,-1.00e-01,
-3.48900e-01,1.92e-01,-1.00e-01,
-3.48800e-01,1.80e-01,-7.99e-02,
-3.48700e-01,1.92e-01,-1.00e-01,
-3.48600e-01,1.80e-01,-6.00e-02,
-3.48500e-01,2.00e-01,-7.99e-02,
-3.48400e-01,1.80e-01,-6.00e-02,
-3.48300e-01,1.96e-01,-7.99e-02,
-3.48200e-01,1.80e-01,-7.99e-02,
-3.48100e-01,1.80e-01,-7.99e-02,
-3.48000e-01,1.76e-01,-6.00e-02,
-3.47900e-01,1.84e-01,-2.00e-02,
-3.47800e-01,1.80e-01,-7.99e-02,
