magnitude,stimLevel,numStims,betaLabels,sid,channel,subjectNum,phaseClass,setToDeliverPhase
405.313171421502,2.5,Test 1,0,d5cd55,144,1,90,180
116.382080921732,2.5,Test 1,0,d5cd55,144,1,90,180
445.904057422169,2.5,Test 1,0,d5cd55,144,1,90,180
322.005895026825,2.5,Test 1,0,d5cd55,144,1,90,180
389.266635099179,2.5,Test 1,0,d5cd55,144,1,90,180
357.808818317887,2.5,Test 1,0,d5cd55,144,1,90,180
57.6550388907856,2.5,Test 1,0,d5cd55,144,1,90,180
77.3683967132389,2.5,Test 1,0,d5cd55,144,1,90,180
114.887694986175,2.5,Test 1,0,d5cd55,144,1,90,180
344.05496895986,2.5,Test 1,0,d5cd55,144,1,90,180
304.900956544368,2.5,Test 1,0,d5cd55,144,1,90,180
391.351957498276,2.5,Test 1,0,d5cd55,144,1,90,180
225.94727520176,2.5,Test 1,0,d5cd55,144,1,90,180
236.865393673104,2.5,Test 1,0,d5cd55,144,1,90,180
472.053093032051,2.5,Test 1,0,d5cd55,144,1,90,180
173.415943925437,2.5,Test 1,0,d5cd55,144,1,90,180
291.276486487016,2.5,Test 1,0,d5cd55,144,1,90,180
98.3974787561308,2.5,Test 1,0,d5cd55,144,1,90,180
119.032321236734,2.5,Test 1,0,d5cd55,144,1,90,180
224.839940594164,2.5,Test 1,0,d5cd55,144,1,90,180
74.7873941311134,2.5,Test 1,0,d5cd55,144,1,90,180
137.79172185333,2.5,Test 1,0,d5cd55,144,1,90,180
281.322523151798,2.5,Test 1,0,d5cd55,144,1,90,180
168.056139521759,2.5,Test 1,0,d5cd55,144,1,90,180
126.943312986463,2.5,Test 1,0,d5cd55,144,1,90,180
236.039739255124,2.5,Test 1,0,d5cd55,144,1,90,180
271.964231372523,2.5,Test 1,0,d5cd55,144,1,90,180
160.565946550574,2.5,Test 1,0,d5cd55,144,1,90,180
297.844566944231,2.5,Test 1,0,d5cd55,144,1,90,180
219.282395310647,2.5,Test 1,0,d5cd55,144,1,90,180
175.867083662059,2.5,Test 1,0,d5cd55,144,1,90,180
90.1752960642753,2.5,Test 1,0,d5cd55,144,1,90,180
115.652676139454,2.5,Test 1,0,d5cd55,144,1,90,180
337.264214965163,2.5,Test 1,0,d5cd55,144,1,90,180
158.847411809793,2.5,Test 1,0,d5cd55,144,1,90,180
456.857896228254,2.5,Test 1,0,d5cd55,144,1,90,180
271.252327508617,2.5,Test 1,0,d5cd55,144,1,90,180
291.419036062589,2.5,Test 1,0,d5cd55,144,1,90,180
314.147878868556,2.5,Test 1,0,d5cd55,144,1,90,180
211.730406723253,2.5,Test 1,0,d5cd55,144,1,90,180
200.136255988868,2.5,Test 1,0,d5cd55,144,1,90,180
477.453992379712,2.5,Test 1,0,d5cd55,144,1,90,180
317.555858200252,2.5,Test 1,0,d5cd55,144,1,90,180
338.025369075145,2.5,Test 1,0,d5cd55,144,1,90,180
240.796517177587,2.5,Test 1,0,d5cd55,144,1,90,180
293.339847386129,2.5,Test 1,0,d5cd55,144,1,90,180
296.415471309299,2.5,Test 1,0,d5cd55,144,1,90,180
246.875854718251,2.5,Test 1,0,d5cd55,144,1,90,180
217.732299560322,2.5,Test 1,0,d5cd55,144,1,90,180
274.525532791875,2.5,Test 1,0,d5cd55,144,1,90,180
340.457982150726,2.5,Test 1,0,d5cd55,144,1,90,180
75.126951439389,2.5,Test 1,0,d5cd55,144,1,90,180
252.801610559631,2.5,Test 1,0,d5cd55,144,1,90,180
267.911225288011,2.5,Test 1,0,d5cd55,144,1,90,180
317.224300932543,2.5,Test 1,0,d5cd55,144,1,90,180
527.822844901554,2.5,Test 1,0,d5cd55,144,1,90,180
222.934345392392,2.5,Test 1,0,d5cd55,144,1,90,180
271.622889136909,2.5,Test 1,0,d5cd55,144,1,90,180
251.000524801974,2.5,Test 1,0,d5cd55,144,1,90,180
317.495545961633,2.5,Test 1,0,d5cd55,144,1,90,180
294.107190483139,2.5,Test 1,0,d5cd55,144,1,90,180
116.259675525772,2.5,Test 1,0,d5cd55,144,1,90,180
154.603051997249,2.5,Test 1,0,d5cd55,144,1,90,180
288.270790176228,2.5,Test 1,0,d5cd55,144,1,90,180
116.311999923938,2.5,Test 1,0,d5cd55,144,1,90,180
215.118861257777,2.5,Test 1,0,d5cd55,144,1,90,180
234.293466418694,2.5,Test 1,0,d5cd55,144,1,90,180
153.651663291394,2.5,Test 1,0,d5cd55,144,1,90,180
187.857671114055,2.5,Test 1,0,d5cd55,144,1,90,180
